Image_no,Text
/content/processed/107.png,یہ اسلام اور نبی اکرم صلی اللہ علیہ وآلہ وسلم سے محبت نہیں۔ نبی اکرم
/content/processed/108.png,"1947 کے دور میں مشکل ایک برصغیر پاکستان کے حصے میں آیا تھا۔ جس کی حالت ناگفتہ بہ تھی NWFP سے مسلمان کے مم فاد وہی اخبار نکلتے تھے۔ ڈیلی آزاد اخبارات دان ، جنگ اور اخباری تھے جبکہ دوسری جگہوں سے چھپنے والے تھا۔ 14 اگست 1947 کو پہلا براڈ کاسٹنگ سسٹم، پاکستان کا ریوریشن قائم ہوا۔ ریڈیو لیٹی سٹیشن 1948ء میں، کراچی اور راولپنڈی میں قائم ہوا بعد اسٹیشن 1960ء میں قائم ہوا۔ 80، 90 کی دہائی میں ایف ایم نے اپنی نشریات شروع کیں"
/content/processed/109.png,"1947 کے دور میں مشکل ایک پریس پاکستان کے حصے میں آیا تھا۔ جس کی حالت ناگفتہ بہ تھی NWFP سے مسلمان کے صرف دو ہی اخبار نکلتے تھے ڈیلی آزاد اور نیوز مانگ بعد میں منقل ہو گیا تھا۔ جبکہ دوسری جگہوں سے چھپنے والے اخبارات ڈان، جنگ اور اخبار تھے تا ہم انگلش پیپرز کا معیار زیادہ اچھا نہیں تھا۔ 14 اگست 1947ء کو پہلا براڈ کاسٹنگ سسٹم، پاکستانی کارپوریشن قائم ہوا۔ اس وقت بھارت سے بالواسطہ نشر ہوتا تھا۔ کچھ نئے اسٹیشن بجد میں جیسے راولپنڈی اسٹیشن 1948ء میں، کراچی اور راولپنڈی میں قائم ہوا بعد میں حیدر آباد میں 1951ء میں، کوئٹہ 1956ء میں دوسرا راولپنڈی اسٹیشن 1960ء میں قائم ہوا، 80، 90 کی دہائی میں ایف ایم نے اپنی نشریات شروع کیں"
/content/processed/110.png,"1947 کے دور میں مشکل ایک پریس پاکستان کے حصے میں آیا تھا۔ جس کی حالت ناگفتہ بہ تھی NWFP سے مسلمان کے صرف دو ہی اخبار نکلتے تھے ۔ ڈیلی آزاد اور نیوز مانگ بعد میں ڈھاکہ منتقل ہوگیا تھا۔ جبکہ دوسری جگہوں سے چھپنے والے اخبارات ڈان، جنگ اور انجام تھے تاہم انگلش پیپرز کا معیار نہ زیادہ اچھا نہیں تھے۔ 14 اگست 1947ء کو پہلا براڈ کاسٹنگ سسٹم ، پاکستان کارپوریشن قائم ہوا۔ اس وقت یہ بھارت سے بالواسطہ نشر ہوتا تھا۔ کچھ نئے اسٹیشن بعد میں جیسے راولپنڈی اسٹیشن 1948ء میں، کراچی اور راولپنڈی میں قائم ہوا بعد میں حیدر آباد میں 1951ء میں، کوئٹہ 1956ء میں دوسرا راولپنڈی اسٹیشن 1960ء میں قائم ہوا 80، 90 کی دہائی میں ایف ایم نے اپنی نشریات شروع کیں۔"
/content/processed/111.png,"1947 کے دور میں مشکل ایک پر پریس پاکستان کے حصے میں آیا تھا۔ جس کی حالت ناگفتہ بہ تھی NWFP سے مسلمان کے صرف دو ہی اخبار نکلتے تھے ۔ ڈیلی آزاد اور نیوز مانگ بعد میں ڈھاکہ منتقل ہوگیا تھا۔ جبکہ دوسری جگہوں سے چھپنے والے اخبارات ڈان، جنگ اور انجام تھے تاہم انگلش پیپرز کا معیار زیادہ اچھا نہیں تھا ۔ 14 اگست 1947ء کو پہلا براڈ کاسٹنگ سسٹم ، پاکستان کارپوریشن قائم ہوا ۔ اس وقت یہ بھارت سے بالواسطہ نشر ہوا تھا ۔ کچھ نئے اسٹیشن بعد میں جیسے راولپنڈی اسٹیشن 1948ء میں، کراچی اور راولپنڈی میں"
/content/processed/112.png,ڵی (بلی) سننے میں ایک خوبصورت سے جانور کا نام / آٹھ مایا ہے ۔ یہ دنیا میں سب سے زیادہ پائے جانے والا جانور ہے ۔ بلی کا سائنسی نام (Domesticus Felis) ہے ۔ اس کا خاندان (Fedidae) کہلاتا ہے ۔ یہ گوشت خور جانور ہے ۔ ایک اندازے کے مطابق بلی 9500 سال سے انسانوں کے درمیان موجود ہے ۔ بلی کی اوسط اونچائی 23 سے 25 میٹر تک ہے ۔ اکثر بلیوں کی لمبائی 30 سینٹی میٹر تک ہوتی ہے ان کے جسم کا درجہ حرارت 38.6 سینٹی گریڈ ہوتا ہے ۔ جب کہ ایک منٹ میں ان کا دل 120 سے 140 مرتبہ دھڑکتا ہے ۔ آرام کی حالت میں سانس لینے کی رفتار 16 سے 40 مرتبہ فی منٹ ہوتی ہے ۔ دنیا کی چھوٹی ترین بلی کا وزن 108 کلوگرام ریکارڈ کیا گیا ہے ۔
/content/processed/113.png,"1947 کے دور میں مشکل ایک پر پریس پاکستان کے حصے میں آیا تھا ۔ جس کی حالت ناگفتہ بہ تھی ۔ NWFP سے مسلمان کے صرف دو ہی اخبار نکلتے تھے ۔ ڈیلی آزاد اور نیوز مانگ بعد میں ڈھاکہ منتقل ہو گیا تھا ۔ جبکہ دوسری جگہوں سے چھپنے والے اخبارات 'ڈان' 'جنگ اور انجام تھے ۔ تاہم انگلش پیپرز کا معیار زیادہ اچھا نہیں تھا ۔ 14 اگست 1947ء کو پہلا براڈ کاسٹنگ سسٹم ، پاکستان کارپوریشن قائم ہوا ۔ اس وقت یہ بھارت سے بالواسطہ نشر ہوتا تھا ۔ کچھ نئے اسٹیشن بعد میں جیسے راولپنڈی اسٹیشن 1948ء میں، کراچی اور راولپنڈی میں قائم ہوا بعد میں حیدر آباد میں 1951ء میں، کوئٹہ 1956ء میں دوسرا راولپنڈی اسٹیشن 1960ء میں قائم ہوا ۔ 80 ، 90 کی دہائی میں ایف ایم نے اپنی نشریات شروع کیں ۔"
/content/processed/114.png,"کے دور میں مشکل ایک پر لیس پاکستان کے حصے میں آیا تھا جس کی حالت ناگفتہ بہ تھی NWFP سے مسلمان کے صرف دو ہی اخبار نکلتے تھے ۔ ڈیلی آزاد اور نیوز مانگ بعد میں ڈھاکہ منتقل ہوگیا تھا ۔ جبکہ دوسری جگہوں سے چھپنے والے اخبارات ڈان، جنگ اور انجام تھے تاہم انگلش پیپرز کا معیار زیادہ اچھا نہیں تھا ۔ 14 اگست 1947ء کو پہلا براڈ کاسٹنگ سسٹم ، پاکستان کارپوریشن قائم ہوا تھا ۔ اس وقت یہ بھارت سے بالواسطہ نشر ہوا تھا ۔ کچھ نئے اسٹیشن بعد میں جیسے راولپنڈی اسٹیشن 1948ء میں، کراچی اور راولپنڈی میں قائم ہوا بعد میں حیدر آباد میں 1951ء میں، کوئٹہ 1956ء میں دوسرا راولپنڈی اسٹیشن 1960ء میں قائم ہوا ۔ 80 ، 90 کی دہائی میں ایف ایم نے اپنی نشریات شروع کیں ۔"
/content/processed/115.png,"کے دور میں مشکل ایک پریس پاکستان کے حصے میں آیا تھا ۔ جس کی حالت ناگفتہ بہ تھی ۔ NWFP سے مسلمان کے صرف دو ہی اخبار نکلتے تھے ۔ ڈیلی آزاد اور نیوز مارننگ ، بعد میں ڈھاکہ منتقل ہو گیا تھا ۔ جبکہ دوسری جگہوں سے چھپنے والے اخبارات ڈان، جنگ اور انجام تھے ۔ تاہم انگلش پیپرز کا معیار اچھا نہیں تھا ۔ 14 اگست 1947ء کو پہلا براڈ کاسٹنگ سسٹم ، پاکستان کارپوریشن قائم ہوا ۔ اس وقت یہ بھارت سے بالواسطہ نشر ہوتا تھا ۔ کچھ نئے اسٹیشن بعد میں جیسے ، راولپنڈی اسٹیشن 1948ء میں، کراچی اور راولپنڈی میں قائم ہوا ۔ بعد میں حیدر آباد میں 1951ء ، کوئٹہ 1956ء میں ، دوسرا راولپنڈی اسٹیشن 1960ء میں قائم ہوا ۔ 80 ، 90 کی دہائی میں ایف ایم نے اپنی نشریات شروع کیں ۔"
/content/processed/116.png,"کے دور میں مشکل ایک پریس پاکستان کے حصے میں آیا تھا ۔ جس کی حالت ناگفتہ بہ تھی NWFP سے مسلمان کے صرف دو ہی اخبار نکلتے تھے ۔ ڈیلی آزاد اور نیوز مارنگ بعد میں ڈھاکہ منتقل ہوگیا تھا ۔ جبکہ دوسری جگہوں سے چھپنے والے اخبارات ڈان، جنگ اور انجام تھے تاہم انگلش پیپرز کا معیار زیادہ اچھا نہیں تھا ۔ 14 اگست 1947ء کو پہلا براڈ کاسٹنگ سسٹم ، پاکستان کارپوریشن قائم ہوا ۔ اس وقت یہ بھارت سے بالواسطہ نشر ہوتا تھا ۔ کچھ نئے اسٹیشن بعد میں جیسے راولپنڈی اسٹیشن 1948ء میں، کراچی اور راولپنڈی میں قائم ہوا بعد میں حیدر آباد میں 1951ء میں، کوئٹہ 1956ء میں دوسرا راولپنڈی اسٹیشن 1960ء میں قائم ہوا ۔ 80 ، 90 کی دہائی میں ایف ایم نے اپنی نشریات شروع کیں ۔"
/content/processed/117.png,"کے دور میں مشکل ایک پر پریس پاکستان کے حصے میں آیا تھا۔ جس کی حالت ناگفتہ بہ تھی NWFP سے مسلمان کے صرف دو ہی اخبار نکلتے تھے۔ ڈیلی آزاد اور نیوز مارننگ بعد میں ڈھاکہ منتقل ہو گیا تھا۔ جبکہ دوسری جگہوں سے چھپنے والے اخبارات ڈان، جنگ اور انجام تھے تاہم انگلش پیپرز کا معیار زیادہ اچھا نہیں تھا۔ 14 اگست 1947ء کو پہلا براڈ کاسٹنگ سسٹم ، پاکستان کارپوریشن قائم ہوا۔ اس وقت یہ بھارت سے بالواسطہ نشر ہوتا تھا۔ کچھ نئے اسٹیشن بعد میں جیسے راولپنڈی اسٹیشن 1948ء میں، کراچی اور راولپنڈی میں قائم ہوا بعد میں حیدر آباد میں 1951ء میں، کوئٹہ 1956ء میں دوسرا راولپنڈی اسٹیشن 1960ء میں قائم ہوا۔ 80 ، 90 کی دہائی میں ایف ایم نے اپنی نشریات شروع کیں۔"
/content/processed/118.png,"کے دور میں مشکل ایک پریس پاکستان کے حصے میں آیا تھا جس کی حالت ناگفتہ بہ تھی NWFP سے مسلمان کے صرف دو ہی اخبار نکلتے تھے ۔ ڈیلی آزاد اور نیوز مارنگ بعد میں ڈھاکہ منتقل ہوگیا تھا ۔ جبکہ دوسری جگہوں سے چھپنے والے اخبارات ڈان، جنگ اور انجام تھے تاہم انگلش پیپرز کا معیار زیادہ اچھا نہیں تھا ۔ 14 اگست 1947ء کو پہلا براڈ کاسٹنگ سسٹم ، پاکستان کارپوریشن قائم ہوا ۔ اس وقت یہ بھارت سے بالواسطہ نشر ہوتا تھا ۔ کچھ نئے اسٹیشن بعد میں جیسے راولپنڈی اسٹیشن 1948ء میں، کراچی اور راولپنڈی میں قائم ہوا بعد میں حیدر آباد میں 1951ء میں، کوئٹہ 1956ء میں دوسرا راولپنڈی اسٹیشن 1960ء میں قائم ہوا ۔ 80 ، 90 کی دہائی میں ایف ایم نے اپنی نشریات شروع کیں ۔"
/content/processed/119.png,ڵی نام سننے ہی ایک خوبصورت سے جانور کا نام / آٹھ مایا ہے ۔ یہ دنیا میں سب سے زیادہ پائے جانے والا جانور ہے ۔ بلی کا سائنسی نام (Felis Demasticus) ہے ۔ اس کا خاندان (Fedidae) کہلاتا ہے ۔ یہ گوشت خور جانور ہے ۔ ایک اندازے کے مطابق بلی 9500 سال سے انسانوں کے درمیان موجود ہے ۔ بلی کی اوسط اونچائی 23 سے 25 میٹر تک ہوتی ہے ۔ اکثر بلیوں کی لمبائی 30 سینٹی میٹر تک ہوتی ہے ان کے جسم کا درجہ حرارت 38.6 سینٹی گریڈ ہوتی ہے جب کہ ایک منٹ میں ان کا دل 120 سے 140 مرتبہ دھڑکتا ہے ۔ آرام کی حالت میں سانس لینے کی رفتار 16 سے 40 مرتبہ فی منٹ ہوتی ہے ۔ دنیا کی چھوٹی ترین بلی کا وزن 108 کلوگرام ریکارڈ کیا گیا ہے
/content/processed/120.png,"عبد الستار ایدھی 1928 میں انڈیا کے ایک علاقے میں ” کاٹھیاوار “ میں پیدا ہوئے ۔ والد ممبئی میں اپنا کاروبار کرتے تھے ۔ لیکن اس کے علاوہ انہیں کو اور لکھنا اور پڑھنا نہیں آتا ۔ 24 سال کی عمر میں پاکستان کی آزادی کے ہفتے دن وہ کراچی آئے ۔ اس وقت کراچی ایک چھوٹا سا شہر تھا ۔ اور دوسرے پاکستان شہروں اور گاؤں کی طرح اس سے بھی مہاجرین کی آباد کاری کا مسئلہ درپیش تھا اور تقریباً 150,000 مہاجر اس وقت کراچی میں مقیم تھے ۔ محض 24 برس کی عمر میں انہوں نے اپنی چھوٹی سی دکان کو اتنا بڑھا دیا تھا کہ آج پورے ملک میں ان کے 450 سے زائد فاؤنڈلیشن سینٹر کام کر رہے ہیں ۔ ان کا کہنا ہے کہ پاکستان کی %3 افراد کی آبادی نے باقی 97 لوگوں کا حق مار رکھا ہے ۔ نہ تو وہ ٹیکسز ادا کرتے ہیں اور نہ وہ لوگوں کی ترقی کے ضمن میں کوئی اچھا کام کرتے ہیں ۔"
/content/processed/121.png,"میں سکول جاتا ہوں ۔

میں سکول جاتا ہوں۔

میں سکول جاتا ہوں ۔

میں سکول جاتا ہوں ۔"
/content/processed/122.png,"کے دور میں مشکل ایک پریس پاکستان کے حصے میں آیا تھا۔ جس کی حالت ناگفتہ بہ تھی NWFP سے مسلمان کے صرف دو ہی اخبار نکلتے تھے ۔ ڈیلی آزاد اور نیوز مارننگ بعد میں ڈھاکہ منتقل ہوگیا تھا ۔ جبکہ دوسری جگہوں سے چھپنے والے اخبارات ڈان، جنگ اور انجام تھے ۔ تاہم انگلش پیپرز کا معیار زیادہ اچھا نہیں تھا ۔ 14 اگست 1947ء کو پہلا براڈ کاسٹنگ سسٹم ، پاکستان کارپوریشن قائم ہوا ۔ اس وقت یہ بھارت سے بالواسطہ نشر ہوتا تھا ۔ کچھ نئے اسٹیشن بعد میں جیسے راولپنڈی اسٹیشن 1948ء میں، کراچی اور راولپنڈی میں قائم ہوا بعد میں حیدر آباد میں 1951ء میں، کوئٹہ 1956ء میں دوسرا راولپنڈی اسٹیشن 1960ء میں قائم ہوا ۔ 80 ، 90 کی دہائی میں ایف ایم نے اپنی نشریات شروع کیں۔"
/content/processed/123.png,بلی کا نام سنتے ہی ایک خوبصورت سے جانور کا تاثر ابھرتا ہے یہ دنیا میں سب سے زیادہ پائے جانے والا جانور ہے۔ بلی کا سائنسی نام (Felis Domesticus) ہے۔ اس کا خاندان (Fedidae) کہلاتا ہے۔ یہ گوشت خور جانور ہے۔ ایک اندازے کے مطابق بلی 9500 سال سے انسانوں کے درمیان موجود ہے۔ بلی کی اوسط اونچائی 23 سے 25 میٹر تک ہوتی ہے۔ اکثر بلیوں کی لمبائی 30 سینٹی میٹر تک ہوتی ہے ان کے جسم کا درجہ حرارت 38.6 سینٹی گریڈ تک ہوتا ہے۔ جب کہ ایک منٹ میں ان کا دل 120 سے 140 مرتبہ دھڑکتا ہے۔ آرام کی حالت میں سانس لینے کی رفتار 16 سے 40 مرتبہ فی منٹ ہوتی ہے۔
/content/processed/124.png,"کے دور میں مشکل ایک پر لیس پاکستان کے حصے میں آیا تھا جس کی حالت ناگفتہ بہ تھی NWFP سے مسلمان کے صرف دو ہی اخبار نکلتے تھے ۔ ڈیلی آزاد اور نیوز مارنگ بعد میں ڈھاکہ منتقل ہوگیا تھا ۔ جبکہ دوسری جگہوں سے چھپنے والے اخبارات ڈان، جنگ اور انجام تھے تاہم انگلش پیپرز کا معیار کا معیار زیادہ اچھا نہیں تھا ۔ 14 اگست 1947ء کو پہلا براڈ کاسٹنگ سسٹم ، پاکستان کارپوریشن قائم ہوا ۔ اس وقت یہ بھارت سے بالواسطہ نشر ہوں تھا ۔ کچھ نئے اسٹیشن بعد میں جیسے راولپنڈی اسٹیشن 1948ء میں، کراچی اور راولپنڈی میں قائم ہوا بعد میں حیدر آباد میں 1951ء میں ، 1956ء میں دوسرا راولپنڈی اسٹیشن 1960ء قائم ہوا ۔ 80 ، 90 کی دہائی میں ایف ایم نے اپنی نشریات شروع کیں"
/content/processed/126.png,"ہندوستان کی سلطنت میسور کا آخری فرماں روا، شیر میسور نواب حیدر کا بیٹا ۔ تحریک آزادی ہندوستان کا پہلا شہید ۔ دیون ہلی کے مقام پر پیدا ہوا۔ ”تاریخ تہمید خان“ کے مصنف محب الحسن خان کی روایت کے مطابق 1767ء میں نظام دکن نے ٹیپو کو ”فتح علی خان بہادر“ کا خطاب دیا تھا ۔ ”نشان حیدری“ کے مولف حسین کرمانی کے بقول حیدر علی نے ایک وفد ٹیپو کی سرکردگی میں دکن روانہ کیا ۔ جہاں ٹیپو کو ”نصیب الدولہ“ کا خطاب ملا۔ 1767ء ٹیپو سلطان فوجی زندگی میں پہلی بار ہمارے سامنے آتا ہے۔ جب وہ حیدر علی خان کے ساتھ مالابار حملہ آور ہوتا ہے۔ 19 جون 1767ء کو ٹیپو سلطان مدراس اور اس کے مضامین پر حملے مار رہا تھا ۔ اس وقت انگریز پہلی بار میسور میں حیدر علی پر حملہ آور ہوئے تھے"
